"+","PA","JFP","Justo Fidel Palacios","Justo Fidel Palacios","4","--3-----","RL","1807",,"0819N 08132W",
,"PA","LRN","La Arena","La Arena","7","--3-----","RL","0307",,"0847N 07951W",
,"PA","LAA","La Arenosa","La Arenosa","3","--3-----","RL","1301",,"0859N 08007W",""
,"PA","CAR","La Carrasquilla","La Carrasquilla",,"--3-----","RL","0201",,"0859N 07931W",
"+","PA","LCR","La Carrillo","La Carrillo","10","--3-----","RL","1807",,"0758N 08053W",
,"PA","CRR","La Chorrera","La Chorrera","5","--3-----","RL","0307",,"0803N 08050W",
"+","PA","LCA","La Colorada","La Colorada","10","--3-----","RL","1807",,"0801N 08059W",
"+","PA","LCL","La Colorada","La Colorada","7","--3-----","RL","1807",,"0749N 08033W",
,"PA","LCO","La Concepcion","La Concepcion","4","--3-----","RL","1501",,"0831N 08237W",
"+","PA","LEN","La Encantada","La Encantada","3","--3-----","RL","1807",,"0906N 08012W",
"+","PA","LEA","La Enea","La Enea","7","--3-----","RL","1807",,"0750N 08016W",
"+","PA","LAE","La Ensenada","La Ensenada","8","--3-----","RL","1807",,"0821N 07850W",
"+","PA","LEM","La Esmeralda","La Esmeralda","8","--3-----","RL","1807",,"0816N 07855W",
"+","PA","LSS","La Espigadilla","La Espigadilla","7","--3-----","RL","1807",,"0753N 08023W",
"+","PA","LES","La Estrella","La Estrella","4","--3-----","RL","1807",,"0831N 08240W",
"+","PA","LGA","La Garceana","La Garceana","10","--3-----","RL","1807",,"0756N 08100W",
"+","PA","LGR","La Garita","La Garita","7","--3-----","RL","1807",,"0731N 08000W",
"+","PA","LGL","La Gloria","La Gloria","1","--3-----","RL","1807",,"0859N 08214W",
"+","PA","LGU","La Guinea","La Guinea","8","--3-----","RL","1807",,"0820N 07855W",
"+","PA","LLU","La Laguna","La Laguna","10","--3-----","RL","1807",,"0820N 08044W",
"+","PA","LLG","La Laguna","La Laguna","9","--3-----","RL","1807",,"0836N 08003W",
"+","PA","LMS","La Mesa","La Mesa","10","--3-----","RL","1807",,"0911N 07916W",
"+","PA","LME","La Mesa","La Mesa","7","--3-----","RL","1807",,"0740N 08038W",
"+","PA","LAM","La Miel","La Miel","7","--3-----","RL","1807",,"0726N 08005W",
"+","PA","LML","La Miel","La Miel","7","--3-----","RL","1807",,"0733N 08020W",
"+","PA","LMT","La Monta�uela","La Montanuela","10","--3-----","RL","1807",,"0744N 08035W",
"�","PA","PLP","La Palma","La Palma","5","1--4----","AI","1807",,,"@Sub"
"+","PA","LPL","La Palma","La Palma","7","--3-----","RL","1807",,"0732N 08020W",
"+","PA","LPA","La Pasera","La Pasera","7","--3-----","RL","1807",,"0748N 08018W",
"+","PA","LPN","La Pe�a","La Pena","10","--3-----","RL","1807",,"0808N 08102W",
"+","PA","LPT","La Pintada","La Pintada","2","--3-----","RL","1807",,"0836N 08027W",
"+","PA","LRC","La Raya de Calobre","La Raya de Calobre","10","--3-----","RL","1807",,"0813N 08050W",
"+","PA","LRS","La Raya de Santa Mar�a","La Raya de Santa Maria","10","--3-----","RL","1807",,"0810N 08049W",
"+","PA","LDD","La Soledad","La Soledad","10","--3-----","RL","1807",,"0752N 08116W",
"+","PA","LSD","La Soledad","La Soledad","10","--3-----","RL","1807",,"0808N 08059W",
"+","PA","LTZ","La Tiza","La Tiza","7","--3-----","RL","1807",,"0745N 08017W",
"+","PA","LTR","La Trinidad","La Trinidad","9","--3-----","RL","1807",,"0852N 08000W",
"+","PA","LTO","La Tronosa","La Tronosa","7","--3-----","RL","1807",,"0726N 08035W",
"+","PA","LVS","La Villa de los Santos","La Villa de los Santos","7","--3-----","RL","1807",,"0758N 08024W",
